title;description;date;link
Bombs over Blackface;;Fri, 26 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/100-bombs-over-blackface.mp3
The Captain's Code;;Mon, 05 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/101-the-captain-s-code.mp3
Voting Stickers;;Tue, 06 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/102-voting-stickers.mp3
Erotic Reflection;;Sat, 17 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/103-erotic-reflection.mp3
The Concrete Pit;;Mon, 19 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/104-the-concrete-pit.mp3
Gerbie's Grool;;Tue, 27 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/105-gerbie-s-grool.mp3
Noooo!;;Mon, 03 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/106-noooo.mp3
DFS;;Mon, 10 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/107-dfs.mp3
Sky World;;Thu, 20 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/108-sky-world.mp3
Sexxxual Hitman;;Sat, 29 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/109-sexxxual-hitman.mp3
Wounded;;Fri, 04 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/110-wounded.mp3
Sad Stories;;Tue, 15 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/111-sad-stories.mp3
Daemons;;Sun, 20 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/112-daemons.mp3
Shreddin' Gnar;;Mon, 28 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/113-shreddin-gnar.mp3
Nicean Secrets;;Tue, 05 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/114-nicean-secrets.mp3
Classified;;Mon, 11 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/115-classified.mp3
O'Contact;;Mon, 18 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/116-o-contact.mp3
The Lazarus Cast;;Tue, 26 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/117-the-lazarus-cast.mp3
Stone Cold's Bastard;;Mon, 04 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/118-stone-cold-s-bastard.mp3
H.E.D.D.;;Thu, 07 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/119-h-e-d-d.mp3
Wolf Stats;;Tue, 19 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/120-wolf-stats.mp3
Saudi Chicken Prince;;Tue, 26 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/121-saudi-chicken-prince.mp3
B.I.G. S.I.S.T.E.R.;;Mon, 01 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/122-b-i-g-s-i-s-t-e-r.mp3
G-Pass;;Wed, 10 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/123-g-pass.mp3
Who Had 'Em;;Tue, 16 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/124-who-had-em.mp3
SWAPCAST W Ya F#cked It;;Mon, 22 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/125-swapcast-w-ya-f-cked-it.mp3
Vision of Love;;Wed, 01 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/126-vision-of-love.mp3
R.I.P. Orlando Bloom;;Wed, 08 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/127-r-i-p-orlando-bloom.mp3
A New Fool;;Tue, 14 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/128-a-new-fool.mp3
Double Donger;;Tue, 21 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/129-double-donger.mp3
The Poors;;Wed, 29 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/130-the-poors.mp3
Gerbies In Space;;Tue, 04 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/131-gerbies-in-space.mp3
STUCK;;Tue, 11 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/132-stuck.mp3
Canadian Parade;;Mon, 17 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/133-canadian-parade.mp3
Can't Cuck This;;Wed, 26 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/134-can-t-cuck-this.mp3
Live @ The Stand w Nick Mullen;;Tue, 02 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/135-live-the-stand-w-nick-mullen.mp3
The War Room;;Mon, 08 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/136-the-war-room.mp3
Geezer League;;Wed, 17 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/137-geezer-league.mp3
The Grid of Interaction;;Mon, 22 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/138-the-grid-of-interaction.mp3
Within the Walls of the Kremlin;;Wed, 31 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/139-within-the-walls-of-the-kremlin.mp3
Awash in Propagander;;Mon, 05 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/140-awash-in-propagander.mp3
War Room II-Pt 1;;Thu, 15 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/141-war-room-ii-pt-1.mp3
Everything is Fcking Asshoe!!!;;Thu, 22 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/142-everything-is-fcking-asshoe.mp3
A.I. is Racist;;Mon, 26 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/143-a-i-is-racist.mp3
Live from Shane's Parent's Basement;;Tue, 03 Sep 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/144-live-from-shane-s-parent-s-basement.mp3
Ephemerality;;Sun, 08 Sep 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/145-ephemerality.mp3
