number;link;title;date
68;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 68 - The Creation of Knowledge [Feb. 21, 2018].mp3;The Creation of Knowledge;Feb. 27, 2018
69;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 69 - ManhoodCanada.Com [Feb. 27, 2018].mp3;ManhoodCanada.Com;Mar. 7, 2018
70;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 70 - Eastwood_s Wet Dream [Mar. 7, 2018].mp3;Eastwood's Wet Dream;Mar. 14, 2018
71;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 71 - Army Hammer [Mar. 14, 2018].mp3;Army Hammer;Mar. 21, 2018
72;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 72 - Interview With a Front Man [Mar. 21, 2018].mp3;Interview With a Front Man;Mar. 28, 2018
73;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 73 - The Great Debate [Mar. 28, 2018].mp3;The Great Debate;Apr. 4, 2018
74;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 74 - The Epic Saga [Apr. 4, 2018].mp3;The Epic Saga;Apr. 8, 2018
75;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 75 - The Curious Case of Male Circumcision [Apr. 8, 2018].mp3;The Curious Case of Male Circumcision;Apr. 11, 2018
76;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 76 - The T Castle [Apr. 11, 2018].mp3;The T Castle;Apr. 18, 2018
77;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 77 - Crap-Top Recording [Apr. 18, 2018].mp3;Crap-Top Recording;Apr. 25, 2018
78;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 78 - Children of the Bread [Apr. 25, 2018].mp3;Children of the Bread;May 2, 2018
79;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 79 - PiMp$, Hoggz, N Double Saws [May 2, 2018].mp3;PiMp$, Hoggz, N Double Saws;May 9, 2018
80;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 80 - Nukes on Nukes on Nukes [May 9, 2018].mp3;Nukes on Nukes on Nukes;May 16, 2018
81;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 81 - The Morning Blowout [May 16, 2018].mp3;The Morning Blowout;May 23, 2018
82;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 82 - Ideological Laser Tag [May 23, 2018].mp3;Ideological Laser Tag;May 30, 2018
83;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 83 - Locker Room Talk of Yore [May 30, 2018].mp3;Locker Room Talk of Yore;Jun. 6, 2018
84;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 84 - Big Snoring Poppas [Jun. 6, 2018].mp3;Big Snoring Poppas;Jun. 14, 2018
85;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 85 - Kang on Top [Jun. 14, 2018].mp3;Kang on Top;Jun. 22, 2018
86;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 86 - Double Stanky  [Jun. 22, 2018].mp3;Double Stanky;Jun. 29, 2018
87;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 87 - Gargoyle Attack [Jun. 29, 2018].mp3;Gargoyle Attack;Jul. 10, 2018
88;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 88 - New Low [Jul. 10, 2018].mp3;New Low;Jul. 22, 2018
89;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 89 - Bad Dog Park [Jul. 22, 2018].mp3;Bad Dog Park;Jul. 24, 2018
90;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 90 - Trying 2 Wrangle Mah B!tch [Jul. 24, 2018].mp3;Trying 2 Wrangle Mah B!tch;Jul. 31, 2018
91;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 91 - Red Scare [Jul. 31, 2018].mp3;Red Scare;Aug. 8, 2018
92;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 92 - Lights, Camera, Action [Aug. 8, 2018].mp3;Lights, Camera, Action;Aug. 8, 2018
93;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 93 (Patreon) - LIVE CAST #3 [Aug. , 2018].mp3;CAST #3;Aug. 25, 2018
94;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 94 - Saurian Greed [Aug. 25, 2018].mp3;Saurian Greed;Sep. 4, 2018
95;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 95 - The Naughty Universe [Sep. 4, 2018].mp3;The Naughty Universe;Sep. 11, 2018
96;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 96 - The Shat Revelations [Sep. 11, 2018].mp3;The Shat Revelations;Sep. 18, 2018
97;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 97 - Feel Da Luh [Sep. 18, 2018].mp3;Feel Da Luh;Sep. 25, 2018
98;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 98 - Ka-Pow! [Sep. 25, 2018].mp3;Ka-Pow!;Oct. 9, 2018
99;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 99 - The Great Divide [Oct. 9, 2018].mp3;The Great Divide;Oct. 16, 2018
100;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 100 - Triple Diggies [Oct. 16, 2018].mp3;Triple Diggies;Oct. 26, 2018
101;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 101 - Bombs over Blackface [Oct. 26, 2018].mp3;Bombs over Blackface;Nov. 5, 2018
102;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 102 - The Captain_s Code [Nov. 5, 2018].mp3;The Captain's Code;Nov. 6, 2018
103;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 103 - Voting Stickers [Nov. 6, 2018].mp3;Voting Stickers;Nov. 17, 2018
104;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 104 - Erotic Reflection [Nov. 17, 2018].mp3;Erotic Reflection;Nov. 19, 2018
105;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 105 - The Concrete Pit [Nov. 19, 2018].mp3;The Concrete Pit;Nov. 27, 2018
106;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 106 - Gerbie_s Grool [Nov. 27, 2018].mp3;Gerbie's Grool;Dec. 3, 2018
107;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 107 - Noooo! [Dec. 3, 2018].mp3;Noooo!;Dec. 10, 2018
108;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 108 - DFS [Dec. 10, 2018].mp3;DFS;Dec. 20, 2018
109;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 109 - Sky World [Dec. 20, 2018].mp3;Sky World;Dec. 29, 2018
110;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 110 - Sexxxual Hitman [Dec. 29, 2018].mp3;Sexxxual Hitman;Jan. 4, 2019
111;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 111 - Wounded [Jan. 4, 2019].mp3;Wounded;Jan. 15, 2019
112;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 112 - Sad Stories [Jan. 15, 2019].mp3;Sad Stories;Jan. 20, 2019
113;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 113 - Daemons [Jan. 20, 2019].mp3;Daemons;Jan. 28, 2019
114;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 114 - Shreddin_ Gnar [Jan. 28, 2019].mp3;Shreddin' Gnar;Feb. 5, 2019
115;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 115 - Nicean Secrets [Feb. 5, 2019].mp3;Nicean Secrets;Feb. 11, 2019
116;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 116 - Classified [Feb. 11, 2019].mp3;Classified;Feb. 18, 2019
