ordinal;title;description;date;link
111;2006 08 17 - Thursday;;Thu, 17 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060817Thursday/The Geoff Show - 2006 08 17 - Thursday.mp3
112;2006 08 22 - Tuesday;;Tue, 22 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060822Tuesday/The Geoff Show - 2006 08 22 - Tuesday.mp3
113;2006 08 23 - Wednesday;;Wed, 23 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060823Wednesday/The Geoff Show - 2006 08 23 - Wednesday.mp3
114;2006 08 24 - Thursday;;Thu, 24 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060824Thursday/The Geoff Show - 2006 08 24 - Thursday.mp3
115;2006 08 28 - Monday;;Mon, 28 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060828Monday/The Geoff Show - 2006 08 28 - Monday.mp3
116;2006 08 29 - Tuesday;;Tue, 29 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060829Tuesday/The Geoff Show - 2006 08 29 - Tuesday.mp3
117;2006 08 30 - Wednesday;;Wed, 30 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060830Wednesday/The Geoff Show - 2006 08 30 - Wednesday.mp3
118;2006 08 31 - Thursday;;Thu, 31 Aug 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060831Thursday/The Geoff Show - 2006 08 31 - Thursday.mp3
119;2006 09 04 - Monday;;Mon, 04 Sep 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060904Monday/The Geoff Show - 2006 09 04 - Monday.mp3
120;2006 09 05 - Tuesday;;Tue, 05 Sep 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060905Tuesday/The Geoff Show - 2006 09 05 - Tuesday.mp3
121;2006 09 06 - Wednesday;;Wed, 06 Sep 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060906Wednesday/The Geoff Show - 2006 09 06 - Wednesday.mp3
122;2006 09 07 - Thursday;;Thu, 07 Sep 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060907Thursday/The Geoff Show - 2006 09 07 - Thursday.mp3
